id,name,enrollment
18672,2024 Fall - BIOC 3820-L2 - LAB: Biochemistry I,10
18673,2024 Fall - CJFS 3720-1 - Constitutional Issues in Criminal Procedure,27
18674,2024 Fall - SOCJ 1980-A-1 - Special Topics: Introduction to Sociology,2
18675,2024 Fall - CJFS 3730-1 - Victimology,25
18676,2024 Fall - BIOL 1130-1 - Biodiversity and Conservation Biology,38
18677,2024 Fall - LGST 3980-1 - Special Topics: Supreme Court of the United States,0
18678,2024 Fall - PHYS 1980-A-1 - Special Topics: Astronomy,1
18679,2024 Fall - CJFS 3750-1 - Theories of Criminal Behavior,25
18680,2024 Fall - BIOL 1130-L1 - LAB: Biodiversity and Conservation Biology,19
18681,2024 Fall - IPE 1020C-C01 - (SC) Medical Terminology,2
18682,2024 Fall - CJFS 3750-2 - Theories of Criminal Behavior,23
18683,2024 Fall - BIOL 1130-L2 - LAB: Biodiversity and Conservation Biology,19
18684,2024 Fall - PSCI 3980-2/LGST 3980-1 - Special Topics: Supreme Court of the United States,18
18685,2024 Fall - MATH 317T-D01 - (ST) Real Analysis,1
18686,"2024 Fall - CJFS 3770-1 - Punishment, Corrections and Society",30
18687,2024 Fall - EDUC 7601-1 - Introduction to Adult Education,9
18689,2024 Fall - CJFS 5660-1 - Senior Capstone and Internship in CJFS,13
18690,2024 Fall - BLAW 300T-01 - (ST) Law for Business Leaders I,1
18691,2024 Fall - EDUC 7690-1 - ABE Field Experience,2
18692,2024 Fall - CJFS 3460-1 - Topics in Forensic Science: Biological Evidence and Serological Examinations,15
18693,2024 Fall - PBHL 200T-01/51 - (ST) Emerging Disease & Glob Health,1
18694,2024 Fall - ESL 7621-1 - TEFL Certificate Part I,9
18695,2024 Fall - CJFS 3450-1 - Forensic Firearm and Toolmark Examination,15
18696,2024 Fall - ARTH 356T-L01 - (ST) Modernism in European Art,1
18699,2024 Fall - GED 7990-1 - Advanced Practicum,6
18700,2024 Fall - PSCI 3980-3 - Special Topics: Applied Research on Conspiracy Theories,0
18701,"2024 Fall - LGST 1300-1 - Legal Advocacy, Policy, and Practice",18
18702,2024 Fall - ESL 7770-1 - Critical Praxis in TESOL,16
18703,"2024 Fall - LGST 1300-2 - Legal Advocacy, Policy, and Practice",20
18704,2024 Fall - PHYS 5900/5910 - Junior & Senior Seminar,10
18705,2024 Fall - ESL 8100-1 - Linguistics for Language Teachers,8
18707,2024 Fall - PHYS 5910-1 - Senior Seminar,0
18709,2024 Fall - LGST 3600-1 - Tort Law,28
18710,2024 Fall - LGST 3690-1 - Courts and Testimony,27
18711,2024 Fall - GED 8495-1 - Capstone Thesis I,3
18713,2024 Fall - LGST 3760-1 - Contracts,10
18714,2024 Fall - GED 8496-1 - Capstone Thesis II,3
18715,2024 Fall - WRIT 8349-1 - Multi-Genre Topics: Writers Go to the Movies,7
18716,2024 Fall - SJSC 1100-1 - Social Justice and Social Change,20
18717,2024 Fall - CHIN 1110-1 - Beginning Chinese I,12
18718,2024 Fall - GED 8490-1 - Capstone Project,8
18719,2024 Fall - SJSC 1110-1 - Society and Social Change,29
18720,2024 Fall - CHIN 3110-1/SC - Intermediate Chinese I,5
18722,2024 Fall - SJSC 1110-2 - Society and Social Change,28
18723,2024 Fall - EXSC 3210-1 - Human Anatomy & Physiology I,29
18725,2024 Fall - SJSC 3910-1 - Theorizing Social Life,11
18726,2024 Fall - EXSC 3210-L1 - LAB: Human Anatomy & Physiology I,17
18727,2024 Fall - HIST 3980-1 - Special Topics: Excavating Hamline History,0
18728,2024 Fall - HIST 3960-1 - Topics in Comparative History: Borders and Borderlands,8
18729,2024 Fall - EXSC 3210-L2 - LAB: Human Anatomy & Physiology I,12
18730,2024 Fall - ANTH 3810-1/HIST 3980 1 - Excavating Hamline History,24
